Experiment #10  Min_Sup : 0.2, Min_Conf : 0.85
----------------------------------------------
1 ['散装休闲食品'] ['饮料'] 0.8743315508021391 0.4383378016085791
2 ['膨化食品'] ['饮料'] 0.9468085106382979 0.2386058981233244
3 ['冷藏乳制品'] ['饮料'] 0.907258064516129 0.30160857908847183
4 ['常温乳制品'] ['饮料'] 0.9753086419753086 0.21179624664879357
5 ['进口食品'] ['饮料'] 0.9329268292682926 0.4101876675603217
6 ['调味品'] ['饮料'] 0.927536231884058 0.34316353887399464
7 ['常温熟食类'] ['饮料'] 0.9230769230769231 0.450402144772118
8 ['即食主食'] ['饮料'] 0.9018181818181817 0.3324396782841823
9 ['糖果巧克力'] ['饮料'] 0.9171779141104294 0.4008042895442359
10 ['冲饮食品'] ['饮料'] 0.9575471698113207 0.27211796246648795
11 ['饼干'] ['饮料'] 0.9433198380566801 0.31233243967828417
12 ['休闲小食品'] ['饮料'] 0.937799043062201 0.26273458445040215
13 ['散装休闲食品', '冷藏乳制品'] ['饮料'] 0.9485714285714286 0.2225201072386059
14 ['饼干', '糖果巧克力'] ['饮料'] 0.9615384615384616 0.23458445040214476
15 ['休闲小食品', '常温熟食类'] ['饮料'] 0.9683544303797468 0.20509383378016086
16 ['香烟', '常温熟食类'] ['饮料'] 0.9615384615384616 0.23458445040214476
17 ['休闲小食品', '进口食品'] ['饮料'] 0.9631901840490797 0.21045576407506703
18 ['冲饮食品', '进口食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
19 ['饼干', '进口食品'] ['饮料'] 0.9839572192513368 0.24664879356568364
20 ['即食主食', '常温熟食类'] ['饮料'] 0.9439252336448598 0.2707774798927614
21 ['进口食品', '调味品'] ['饮料'] 0.9682539682539683 0.2453083109919571
22 ['散装休闲食品', '香烟'] ['饮料'] 0.9529411764705882 0.21715817694369974
23 ['糖果巧克力', '冷藏乳制品'] ['饮料'] 0.9695121951219512 0.2131367292225201
24 ['糖果巧克力', '常温熟食类'] ['饮料'] 0.9813953488372092 0.2828418230563003
25 ['糖果巧克力', '即食主食'] ['饮料'] 0.9702380952380952 0.21849865951742628
26 ['冷藏乳制品', '常温熟食类'] ['饮料'] 0.9655172413793104 0.225201072386059
27 ['冲饮食品', '常温熟食类'] ['饮料'] 0.993421052631579 0.20241286863270777
28 ['冲饮食品', '散装休闲食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
29 ['散装休闲食品', '饼干'] ['饮料'] 0.965909090909091 0.22788203753351208
30 ['散装休闲食品', '进口食品'] ['饮料'] 0.950207468879668 0.306970509383378
31 ['散装休闲食品', '调味品'] ['饮料'] 0.9476190476190476 0.2667560321715818
32 ['散装休闲食品', '糖果巧克力'] ['饮料'] 0.9471365638766521 0.28820375335120646
33 ['散装休闲食品', '休闲小食品'] ['饮料'] 0.9575757575757575 0.21179624664879357
34 ['常温熟食类', '调味品'] ['饮料'] 0.9609756097560975 0.2640750670241287
35 ['进口食品', '常温熟食类'] ['饮料'] 0.9699570815450643 0.30294906166219837
36 ['即食主食', '调味品'] ['饮料'] 0.9753086419753086 0.21179624664879357
37 ['进口食品', '即食主食'] ['饮料'] 0.9680851063829787 0.24396782841823056
38 ['散装休闲食品', '常温熟食类'] ['饮料'] 0.9510204081632653 0.31233243967828417
39 ['散装休闲食品', '即食主食'] ['饮料'] 0.9417989417989417 0.2386058981233244
40 ['糖果巧克力', '进口食品'] ['饮料'] 0.9634703196347033 0.2828418230563003
41 ['糖果巧克力', '调味品'] ['饮料'] 0.9728260869565217 0.23994638069705093
42 ['进口食品', '冷藏乳制品'] ['饮料'] 0.9593023255813954 0.22117962466487937
43 ['饼干', '常温熟食类'] ['饮料'] 0.9888268156424581 0.23726541554959785


Association rules mining has completed.

The time spending on Apriori (seconds): 0.035860
